Broad ID	DrugBank ID
BRD-K33226500	DB00224
BRD-K90948141	DB12590
BRD-K17894950	DB15676
BRD-K19136521	DB02052
BRD-K17610631	DB06370
BRD-K01815685	DB12881
BRD-K57222227	DB00328
BRD-K76953762	DB08950
BRD-K93779381	DB05013
BRD-K52618540	DB13178
BRD-K67261995	DB04711
BRD-K51247865	DB11698
BRD-K01826778	DB15676
BRD-K88568253	DB04818
BRD-K60038276	DB01029
BRD-K08547377	DB00762
BRD-K87777313	DB02292
BRD-K74195153	DB13056
BRD-K93332168	DB01247
BRD-K56575995	DB00677
BRD-K33583600	DB03285
BRD-K87202646	DB00951
BRD-K14127446	DB01625
BRD-K55853390	DB00883
BRD-K82225283	DB01020
BRD-K76723084	DB00982
BRD-A75552914	DB08942
BRD-K12826175	DB15676
BRD-K87774949	DB11757
BRD-K67482377	DB12154
BRD-K96740444	DB04924
BRD-K33972682	DB09083
BRD-K52818472	DB08820
BRD-K03601870	DB15676
BRD-K32892871	DB15676
BRD-K25596805	DB15676
BRD-K83837640	DB12985
BRD-K31802667	DB12579
BRD-K02123250	DB13113
BRD-K55029398	DB12059
BRD-K12807006	DB01852
BRD-K00003176	DB05806
BRD-K49671696	DB12465
BRD-K02898090	DB02742
BRD-A95683721	DB15676
BRD-K85872723	DB11937
BRD-K98372770	DB08078
BRD-K10958118	DB07227
BRD-K06033833	DB00125
BRD-K97163964	DB00128
BRD-A12237696	DB00155
BRD-K33141550	DB12750
BRD-K43586850	DB09236
BRD-K93460210	DB00555
BRD-K86436199	DB12212
BRD-K00004280	DB05351
BRD-K19687926	DB01259
BRD-K60918217	DB06685
BRD-K10961822	DB00654
BRD-K55703048	DB11725
BRD-K61292460	DB08080
BRD-K67375056	DB03017
BRD-K08248804	DB12085
BRD-K20008181	DB12866
BRD-K78692225	DB01097
BRD-K78666663	DB11951
BRD-K39974922	DB09078
BRD-K62398570	DB12964
BRD-K75024268	DB11560
BRD-K88789588	DB01006
BRD-K34469523	DB13139
BRD-K30634073	DB00504
BRD-K73107279	DB00848
BRD-K49404994	DB01202
BRD-A64698388	DB15676
BRD-K43883465	DB09351
BRD-K31812033	DB01210
BRD-K33453211	DB01106
BRD-K59647213	DB02648
BRD-K50329370	DB00825
BRD-K35559145	DB01403
BRD-K02976377	DB06707
BRD-K35189033	DB00367
BRD-K03095347	DB00922
BRD-K30685142	DB00451
BRD-A30655177	DB15676
BRD-K16810791	DB12561
BRD-K08439945	DB04725
BRD-K52662033	DB00281
BRD-K25015158	DB09211
BRD-K00003592	DB08890
BRD-K96550715	DB08882
BRD-K93814253	DB00431
BRD-K66876909	DB00601
BRD-K86118762	DB06075
BRD-K67966701	DB00722
BRD-K67943528	DB00589
BRD-K73234506	DB01762
BRD-K83029223	DB11861
BRD-K66206289	DB05137
BRD-K92213669	DB08827
BRD-K41599323	DB06448
BRD-K78513633	DB06266
BRD-K61250553	DB00836
BRD-K82795137	DB00455
BRD-A90551241	DB06725
BRD-K76205745	DB00678
BRD-K56195681	DB12270
BRD-K09416995	DB00227
BRD-K39915878	DB00408
BRD-K53124401	DB12961
BRD-K83970940	DB15676
BRD-K00003521	DB04967
BRD-K31309378	DB11845
BRD-K69236721	DB09280
BRD-K10031916	DB06077
BRD-K26901728	DB01283
BRD-K51143828	DB08815
BRD-K78055238	DB11913
BRD-K78118466	DB11911
BRD-K59227464	DB11787
BRD-K90171280	DB12573
BRD-K21833260	DB12690
BRD-K14109347	DB11662
BRD-K20463415	DB12008
BRD-K12068470	DB12284
BRD-K25630527	DB13040
BRD-K18961567	DB12381
BRD-K94534639	DB13065
BRD-K15382985	DB15676
BRD-K17203476	DB13022
BRD-K51258098	DB12547
BRD-K27305650	DB02656
BRD-K82967180	DB12167
BRD-K06234293	DB03921
BRD-K45528773	DB02565
BRD-K48812570	DB08932
BRD-K30649484	DB06795
BRD-K03319035	DB15676
BRD-K00004293	DB04835
BRD-K21396683	DB00786
BRD-K07790550	DB13004
BRD-K32218650	DB12345
BRD-K50712474	DB00114
BRD-K75844781	DB12110
BRD-K59753853	DB04175
BRD-K77987382	DB00643
BRD-K50398167	DB00939
BRD-K82216340	DB00603
BRD-K56515112	DB00253
BRD-K92778217	DB00784
BRD-K19507340	DB00351
BRD-K00495673	DB04377
BRD-K14529030	DB15676
BRD-K97530723	DB01065
BRD-K01826742	DB00814
BRD-K92984783	DB09224
BRD-K78126613	DB00170
