,FragmentsBitId,AvgNumNonHydrogenAtoms,StdNumNonHydrogenAtoms,countStrong,p-valueStrong,countWeak,p-valueWeak,countVeryWeak,p-valueVeryWeak,countLow,p-valueLow,countCyto,p-valueCyto,countNE,p-valueNE,hStrongBH,p-valueStrongBH,hWeakBH,p-valueWeakBH,hVeryWeakBH,p-valueVeryWeakBH,hLowBH,p-valueLowBH,hCytoBH,p-valueCytoBH,hNEBH,p-valueNEBH
3837,3837,10.421052631578947,1.9819126719750244,2.0,0.06197874806102011,0.0,1.0,1.0,0.44344816713625734,2.0,0.1654478902453728,0.0,1.0,11.0,0.971853099917751,False,0.7253284344512525,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3838,3838,8.413793103448276,3.419187656893942,1.0,0.5298823109991657,4.0,0.013401684605327487,0.0,1.0,0.0,1.0,0.0,1.0,24.0,0.7056333353461592,False,1.0,False,0.6920786175999601,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3839,3839,9.941176470588236,1.5518712892085786,0.0,1.0,2.0,0.10307111850397255,0.0,1.0,3.0,0.04039699707635347,0.0,1.0,12.0,0.9620929945454326,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3840,3840,8.033333333333333,2.105284356618417,2.0,0.17884233603875022,1.0,0.6278846965480981,4.0,0.021361853195666598,1.0,0.756587967491747,2.0,0.0861159462731384,20.0,0.9960157663946869,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3841,3841,9.096774193548388,2.190225186679736,3.0,0.04402911013808069,2.0,0.265185096978473,0.0,1.0,1.0,0.7678128373850883,0.0,1.0,25.0,0.8000698279153833,False,0.6429348845831676,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3842,3842,7.529411764705882,2.81001668529322,0.0,1.0,1.0,0.42857733039057194,3.0,0.021439591314134383,1.0,0.550627723343118,0.0,1.0,12.0,0.9620929945454326,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3843,3843,11.481481481481481,2.2992812140990746,2.0,0.1425097835413264,1.0,0.5753475202571241,1.0,0.6144046563082851,1.0,0.7060144560137469,0.0,1.0,21.0,0.7893966745547127,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3844,3844,9.508474576271187,2.204562921098522,3.0,0.19211918586323964,1.0,0.8575054585168711,1.0,0.8855885618070808,4.0,0.2858931515262717,0.0,1.0,50.0,0.5566896592913244,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3845,3845,9.789473684210526,1.7344481108720087,0.0,1.0,0.0,1.0,2.0,0.14749807664144032,1.0,0.591043574325074,0.0,1.0,16.0,0.6556577796852655,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3846,3846,8.083333333333334,2.885548282196798,1.0,0.7138045180880981,2.0,0.46321244070759404,0.0,1.0,4.0,0.17698521529033606,0.0,1.0,41.0,0.5186132437930099,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3847,3847,4.094117647058823,2.6551770935144563,2.0,0.639496730104381,2.0,0.7613667885366312,1.0,0.9546114280180686,7.0,0.09004659654501464,4.0,0.04860284721589924,68.0,0.846645300125388,False,1.0,False,1.0,False,1.0,False,1.0,False,0.986294607650651,False,0.9999999987215966
